,Switzerland,Colombia,Denmark,Hong Kong,Italy,Netherlands,Norway,New Zealand,Sweden,Singapore,US,Canada,South Korea,Portugal
1998-03-31,284.44,445.51,225.69400000000002,138.7,69.04899999999999,119.635,30.2,676.4,207,98.3,68.8,56,51.2,84.3
1998-06-30,283.63,460.64,235.09799999999998,112.5,69.796,121.46,32.1,664.5,214,90.1,68.2,56,47.8,85.8
1998-09-30,282.65,455.51,238.39,98.5,69.937,127.758,31.8,665.6,220,78.3,69.4,56,47.4,87.0
1998-12-31,280.09,449.26,242.15099999999998,104.6,69.956,129.378,30.9,668.5,223,71.5,70.1,56,47.1,88.8
1999-03-31,282.55,447.88,245.91299999999998,101.7,69.808,133.54399999999998,32.1,679.5,226,75.4,71.1,56,47.9,91.6
1999-06-30,282.65,446.81,249.674,102.3,70.256,141.717,34.7,684.5,235,84.3,72.7,56,48.0,93.8
1999-09-30,281.68,437.14,254.37599999999998,97.1,70.601,151.863,35.4,683.5,242,91.1,73.0,57,48.9,95.6
1999-12-31,282.36,444.44,254.84599999999998,95.7,70.997,155.389,36.7,683.8,242,95.9,73.0,57,48.7,96.4
2000-03-31,280.5,453.66,258.608,95.3,72.006,161.686,38.9,685.0,249,98.9,74.3,58,49.2,98.5
2000-06-30,285.09,466.22,265.661,86.0,72.617,169.998,41.5,683.0,261,100.4,74.5,58,49.1,100.8
2000-09-30,287.15,451.59,271.77299999999997,88.2,73.61,179.94,40.3,677.7,270,97.6,75.8,58,49.3,102.5
2000-12-31,287.01,443.42,274.124,81.8,74.457,182.625,40.3,675.9,271,94.9,76.2,59,48.9,104.9
2001-03-31,287.34,474.02,279.297,82.1,75.319,180.49400000000003,41.7,685.2,279,91.1,76.9,59,49.3,105.6
2001-06-30,290.23,468.79,283.058,80.9,76.274,187.33599999999998,43.5,687.8,283,90.3,77.3,60,50.4,107.0
2001-09-30,290.69,465.75,286.35,77.2,77.91,191.69299999999998,43.5,693.8,288,87.6,78.1,60,52.8,107.0
2001-12-31,293.47,492.79,283.999,73.8,79.991,191.854,43.4,705.6,284,83.8,79.1,60,53.7,107.0
2002-03-31,300.36,464.88,288.23,73.3,84.58,197.257,44.8,733.6,289,82.8,80.9,61,57.8,107.2
2002-06-30,301.13,485.22,293.873,71.8,86.363,199.38400000000001,46.4,751.3,298,82.2,81.3,62,59.0,107.4
2002-09-30,304.27,477.52,295.753,66.7,87.40100000000001,204.417,44.9,774.9,309,82.6,80.6,62,62.0,107.1
2002-12-31,309.64,480.27,295.753,64.8,88.05,201.155,44.6,804.1,310,82.3,83.8,63,62.5,107.2
2003-03-31,310.28,472.06,296.224,61.2,90.044,199.88,45.6,848.3,312,81.6,84.3,64,63.2,107.8
2003-06-30,312.04,491.57,302.336,59.3,91.249,204.76,45.9,877.7,319,81.1,84.6,65,65.3,108.4
2003-09-30,314.63,484.93,306.098,60.9,92.941,205.43,45.8,936.7,326,80.7,87.1,66,66.2,108.7
2003-12-31,314.68,508.87,306.098,65.4,93.51799999999999,211.41,46.4,1000.0,329,80.6,88.5,66,66.1,108.8
2004-03-31,318.13,509.61,314.561,78.1,94.486,210.15599999999998,49.8,1044.5,336,80.3,91.3,67,66.1,108.9
2004-06-30,318.26,534.8,326.316,74.7,96.396,211.95,50.6,1063.1,350,80.4,91.8,69,66.0,109.0
2004-09-30,321.87,531.65,335.72,80.9,98.921,218.35,50.7,1084.9,358,80.7,94.8,69,65.5,109.2
2004-12-31,322.9,569.45,342.30300000000005,83.3,100.436,210.15,51.3,1124.1,362,81.3,95.0,70,64.7,109.3
2005-03-31,322.69,556.92,355.939,94.6,102.35,217.11,53.4,1176.1,364,81.9,96.5,71,65.0,108.8
2005-06-30,320.76,584.07,376.62699999999995,92.9,104.242,221.78799999999998,54.9,1209.1,377,82.3,99.2,72,66.3,111.6
2005-09-30,324.45,587.82,398.256,94.0,106.275,229.361,55.4,1247.2,392,83.3,101.4,73,67.2,113.7
2005-12-31,327.09,596.75,419.885,90.1,107.23100000000001,226.399,55.4,1295.4,400,84.5,103.9,74,67.3,113.8
2006-03-31,330.45,620.3,445.276,92.6,108.387,231.013,58.9,1320.2,413,85.8,104.1,76,68.3,113.7
2006-06-30,332.81,642.41,473.017,92.3,110.48700000000001,237.713,61.8,1331.9,426,87.3,105.7,79,69.9,114.0
2006-09-30,330.97,675.6,484.30199999999996,93.3,112.494,241.65400000000002,63.8,1362.9,439,89.6,104.8,81,70.6,114.2
2006-12-31,332.99,688.32,482.892,93.8,113.25,237.903,64.6,1411.0,442,93.1,103.8,82,75.1,114.1
2007-03-31,338.85,727.43,489.474,97.9,114.741,244.05599999999998,68.6,1469.7,446,97.6,107.2,83,76.2,115.5
2007-06-30,337.51,764.02,496.05699999999996,101.6,116.054,247.32299999999998,71.2,1510.9,470,105.6,105.9,85,76.4,114.5
2007-09-30,338.69,774.26,497.468,105.3,117.65100000000001,252.65,71.1,1516.8,491,114.4,103.0,86,77.0,115.8
2007-12-31,339.58,807.47,488.534,117.9,118.271,247.65,69.5,1519.0,492,122.1,102.1,87,77.5,112.0
2008-03-31,340.36,850.78,483.481,126.4,119.027,250.16,71.1,1509.9,486,126.7,98.8,88,78.6,109.7
2008-06-30,346.5,891.97,487.726,126.6,120.214,252.71,72.0,1443.6,493,126.9,102.2,88,80.2,106.7
2008-09-30,351.37,910.89,474.519,121.9,120.728,258.314,69.6,1415.7,500,123.9,100.2,88,80.9,103.6
2008-12-31,352.27,924.91,437.727,104.8,118.89,252.145,64.7,1383.4,482,116.4,95.7,88,79.9,108.0
2009-03-31,358.35,953.24,411.31300000000005,109.2,119.31,240.13,67.4,1374.0,475,100.0,92.7,86,79.1,105.8
2009-06-30,362.28,972.94,413.2,121.1,119.184,231.68400000000003,70.9,1398.9,494,95.3,96.2,85,79.4,103.9
2009-09-30,365.87,998.75,416.973,129.9,119.363,233.50400000000002,72.2,1430.6,507,110.3,94.3,86,80.5,105.8
2009-12-31,374.18,1000.53,415.55800000000005,134.7,118.586,239.605,72.2,1458.0,516,118.4,96.2,87,81.1,106.8
2010-03-31,375.85,1031.52,417.445,143.4,116.8,236.23,74.6,1459.2,526,125.1,94.8,87,81.6,106.5
2010-06-30,378.74,1053.69,428.293,146.9,117.9,241.017,77.4,1443.2,538,131.7,95.2,88,81.8,105.5
2010-09-30,384.34,1045.52,429.23699999999997,156.1,118.8,245.706,77.0,1434.5,541,135.5,94.2,88,81.8,106.1
2010-12-31,390.01,1096.08,427.82199999999995,163.0,118.9,234.739,76.9,1434.5,543,139.2,96.3,88,82.6,104.8
2011-03-31,392.28,1082.7,420.74699999999996,179.5,118.3,244.66099999999997,80.9,1438.0,544,142.3,93.7,89,84.5,102.8
2011-06-30,396.27,1137.96,424.52,188.1,120.7,241.662,83.1,1445.0,547,145.1,94.5,90,86.2,100.6
2011-09-30,398.62,1169.77,411.784,185.6,120.3,246.53799999999998,83.4,1464.5,546,147.0,93.0,90,87.4,99.9
2011-12-31,404.65,1174.37,398.577,181.1,119.5,230.582,83.0,1467.2,527,147.4,94.0,91,88.3,96.6
2012-03-31,410.43,1202.76,397.634,192.2,119.0,230.34099999999998,86.0,1482.7,525,147.2,94.0,91,88.7,96.1
2012-06-30,408.64,1255.24,400.936,205.1,118.1,240.44299999999998,88.8,1500.2,531,147.9,95.2,92,88.8,96.4
2012-09-30,412.9,1270.76,401.407,217.8,115.9,216.84900000000002,89.3,1529.9,539,148.8,98.9,92,88.5,92.1
2012-12-31,419.35,1304.12,401.407,228.0,113.6,221.887,88.7,1561.7,539,151.5,100.0,93,88.3,90.7
2013-03-31,425.24,1346.77,405.181,239.9,110.5,220.43,91.4,1597.5,539,152.4,101.3,93,88.1,91.3
2013-06-30,430.93,1381.07,414.14300000000003,243.3,110.2,206.114,93.9,1631.6,547,154.0,104.7,94,88.1,90.6
2013-09-30,433.6,1394.71,412.256,245.5,108.6,215.283,92.1,1682.6,555,154.6,104.8,94,88.1,91.4
2013-12-31,438.64,1394.3,412.728,245.1,107.1,215.388,89.6,1701.7,560,153.2,105.8,94,88.6,91.5
2014-03-31,434.32,1455.49,416.03,243.7,105.7,214.14700000000002,91.7,1719.4,569,151.3,106.8,94,89.1,92.4
2014-06-30,437.18,1478.27,428.293,250.3,104.7,222.301,95.2,1736.4,583,149.7,112.7,95,89.4,92.7
2014-09-30,438.69,1515.18,427.35,266.3,103.5,223.567,95.3,1763.6,601,148.6,112.1,95,89.8,91.7
2014-12-31,440.47,1496.37,427.35,278.3,101.9,226.646,94.8,1823.5,608,147.0,114.4,96,90.5,93.6
2015-03-31,445.24,1559.97,441.029,291.5,99.7,225.024,98.3,1881.0,621,145.5,111.0,96,91.2,94.1
2015-06-30,446.99,1627.87,454.236,301.3,99.8,229.38099999999997,101.5,1945.8,644,144.2,110.7,96,92.4,93.0
2015-09-30,447.49,1654.47,453.293,305.9,100.7,233.956,101.1,2036.5,667,142.3,112.8,97,93.6,93.6
2015-12-31,450.56,1651.58,454.236,285.0,99.8,233.24200000000002,99.1,2053.7,684,141.6,116.9,97,94.4,96.3
2016-03-31,450.86,1753.22,460.84,271.2,99.8,235.799,102.8,2128.6,686,140.6,119.0,98,94.6,97.4
2016-06-30,452.21,1812.27,468.85900000000004,276.4,100.5,242.08900000000003,107.1,2241.1,701,140.0,119.0,99,94.8,98.3
2016-09-30,453.6,1841.71,472.63199999999995,296.2,100.7,253.498,109.1,2323.0,724,137.9,122.4,99,95.2,100.6
2016-12-31,457.1,1832.83,470.274,307.4,100.0,246.511,109.1,2346.8,727,137.2,123.7,100,95.7,101.7
2017-03-31,461.76,1849.44,476.87800000000004,321.2,99.1,258.83799999999997,113.2,2386.2,742,136.7,124.7,101,95.8,103.5
2017-06-30,462.26,1939.67,489.61300000000006,336.1,99.6,264.362,114.5,2390.8,766,136.6,126.4,102,96.0,107.0
