Period,Index
31.01.2001,100
28.02.2001,100.7
31.03.2001,100.9
30.04.2001,101
31.05.2001,101.6
30.06.2001,102.6
31.07.2001,103.9
31.08.2001,105.4
30.09.2001,106.9
31.10.2001,108.1
30.11.2001,109.2
31.12.2001,110.3
31.01.2002,111.5
28.02.2002,112.7
31.03.2002,113.9
30.04.2002,115
31.05.2002,116.1
30.06.2002,117.1
31.07.2002,118.1
31.08.2002,119.3
30.09.2002,121
31.10.2002,122.7
30.11.2002,124.4
31.12.2002,125.8
31.01.2003,127.3
28.02.2003,129.2
31.03.2003,131.4
30.04.2003,133.6
31.05.2003,135.9
30.06.2003,138.3
31.07.2003,140.7
31.08.2003,143.4
30.09.2003,146.8
31.10.2003,150.8
30.11.2003,155.1
31.12.2003,159.7
31.01.2004,164.6
29.02.2004,169.6
31.03.2004,174
30.04.2004,178
31.05.2004,181.7
30.06.2004,185.3
31.07.2004,189.2
31.08.2004,193.7
30.09.2004,198.5
31.10.2004,203.7
30.11.2004,209.7
31.12.2004,215.9
31.01.2005,221.6
28.02.2005,226.7
31.03.2005,230.9
30.04.2005,234.3
31.05.2005,237.2
30.06.2005,240.2
31.07.2005,243.8
31.08.2005,247.7
30.09.2005,251.9
31.10.2005,256.1
30.11.2005,259.9
31.12.2005,263
31.01.2006,265.8
28.02.2006,268.8
31.03.2006,271.9
30.04.2006,275.2
31.05.2006,278.6
30.06.2006,282
31.07.2006,285.3
31.08.2006,288.7
30.09.2006,291.7
31.10.2006,294.5
30.11.2006,297
31.12.2006,299.6
31.01.2007,303
28.02.2007,307.1
31.03.2007,312.3
30.04.2007,318
31.05.2007,323.4
30.06.2007,328.1
31.07.2007,331.4
31.08.2007,333.2
30.09.2007,333.9
31.10.2007,333.5
30.11.2007,332.8
31.12.2007,332.6
31.01.2008,332.3
29.02.2008,331.6
31.03.2008,329.3
30.04.2008,325.8
31.05.2008,322.1
30.06.2008,318.7
31.07.2008,315.8
31.08.2008,314.3
30.09.2008,314.2
31.10.2008,314.8
30.11.2008,315.8
31.12.2008,315.8
31.01.2009,315.7
28.02.2009,315.3
31.03.2009,314.5
30.04.2009,313.5
31.05.2009,312.8
30.06.2009,313.1
31.07.2009,313.8
31.08.2009,314.7
30.09.2009,316.2
31.10.2009,318
30.11.2009,319.7
31.12.2009,321.9
31.01.2010,324.8
28.02.2010,327.1
31.03.2010,328.8
30.04.2010,329.9
31.05.2010,330.4
30.06.2010,330.2
31.07.2010,329.4
31.08.2010,329.3
30.09.2010,330.1
31.10.2010,330.8
30.11.2010,331.3
31.12.2010,331.9
31.01.2011,332.7
28.02.2011,333.8
31.03.2011,335.2
30.04.2011,337.1
31.05.2011,338.7
30.06.2011,340
31.07.2011,341
31.08.2011,341.9
30.09.2011,343
31.10.2011,344.1
30.11.2011,345.2
31.12.2011,346.7
31.01.2012,348.5
29.02.2012,350.2
31.03.2012,351.7
30.04.2012,353
31.05.2012,354.3
30.06.2012,355.9
31.07.2012,357.6
31.08.2012,359.8
30.09.2012,362.2
31.10.2012,363.9
30.11.2012,365.2
31.12.2012,366.6
31.01.2013,368.9
28.02.2013,371.4
31.03.2013,373.7
30.04.2013,375.1
31.05.2013,376.4
30.06.2013,378.3
31.07.2013,380.5
31.08.2013,382.7
30.09.2013,384.9
31.10.2013,387.5
30.11.2013,390.8
31.12.2013,394.8
31.01.2014,398.9
28.02.2014,401.9
31.03.2014,403.7
30.04.2014,405.4
31.05.2014,407
30.06.2014,409
31.07.2014,410.8
31.08.2014,412.4
30.09.2014,414.1
31.10.2014,415.6
30.11.2014,417.5
31.12.2014,419.7
31.01.2015,422.3
28.02.2015,425.5
31.03.2015,428.8
30.04.2015,431.5
31.05.2015,433.5
30.06.2015,435.1
31.07.2015,436.3
31.08.2015,437.7
30.09.2015,439.2
31.10.2015,441.3
30.11.2015,443.7
31.12.2015,445.9
31.01.2016,449
29.02.2016,452.2
31.03.2016,455.3
30.04.2016,457.8
31.05.2016,459.5
30.06.2016,460.6
31.07.2016,461.2
31.08.2016,461.7
30.09.2016,462.1
31.10.2016,462.9
30.11.2016,464.4
31.12.2016,466.8
31.01.2017,470.1
28.02.2017,473.3
31.03.2017,475.8
30.04.2017,477.6
31.05.2017,478.6
30.06.2017,479.4
31.07.2017,480.1
31.08.2017,480.9
30.09.2017,481.6
31.10.2017,482.4
30.11.2017,483.3
31.12.2017,484.5
31.01.2018,486.3
28.02.2018,488.8
31.03.2018,491.6
30.04.2018,494.3
31.05.2018,496.4
30.06.2018,497.8
31.07.2018,498.9
31.08.2018,500
30.09.2018,501.3
31.10.2018,502.5
30.11.2018,503.5
31.12.2018,504.2
31.01.2019,504.8
28.02.2019,506
31.03.2019,508.3
30.04.2019,510.8
31.05.2019,513.1
30.06.2019,515
31.07.2019,516.7
31.08.2019,518.3
30.09.2019,519.8
31.10.2019,520.9
30.11.2019,521.4
31.12.2019,521.5
31.01.2020,521.1
29.02.2020,520.7
31.03.2020,520.7
30.04.2020,520.5
