Date,London HPI,employment rate,100/mortgage rate,Real_FTSE100,Real GDP PC CHG
6/30/1995,18.65830857,65.33333333,12.27421158,49.25971324,0.862431637
9/30/1995,18.73781211,64.63333333,12.56852012,52.0904284,1.313868613
12/31/1995,18.5014144,64.66666667,12.51564456,53.96564505,0.288184438
3/31/1996,18.79282154,64.96666667,15.12376253,55.09522848,0.841543514
6/30/1996,19.20668946,65.63333333,14.51179379,54.85561863,0.040708325
9/30/1996,19.66082112,65.9,14.10454071,55.93023468,0.386571719
12/31/1996,19.95338938,66,14.19639756,58.55539704,0.689096068
3/31/1997,20.78710255,66.1,13.79585364,62.0308554,0.382447665
6/30/1997,21.8331103,66.56666667,13.93459031,65.08726167,0.962502507
9/30/1997,23.03842235,66.8,14.00006541,71.02351563,0.377358491
12/31/1997,23.64953369,66.8,14.12468749,69.9017653,0.910170162
3/31/1998,24.30961106,66.63333333,14.13151783,81.03170356,0.784313725
6/30/1998,25.25811836,66.56666667,14.15325599,82.3169003,0.914396887
9/30/1998,25.90365704,66.96666667,13.84067226,75.38555113,0.616926933
12/31/1998,25.91747601,67.66666667,15.02103968,79.16548806,0.785591109
3/31/1999,26.34299185,68.7,17.32689568,85.04484654,0.513307985
6/30/1999,27.64947637,68.63333333,17.32452701,87.56077579,-0.132400227
9/30/1999,29.70531457,68.26666667,16.29964198,84.99145107,1.799242424
12/31/1999,31.17077119,68.26666667,15.29118461,90.41888076,1.246511628
3/31/2000,32.88276043,68.3,14.99355967,87.18821139,0.826901874
6/30/2000,35.17245398,69.03333333,15.65906299,86.22367386,0.510297066
9/30/2000,36.47608294,69.73333333,15.76482639,87.73012433,0.072529465
12/31/2000,36.47164904,70.2,16.53810791,84.79177989,-0.144953796
3/31/2001,37.25653064,70.36666667,17.4835105,80.71428681,1.397205589
6/30/2001,38.78901131,70.56666667,17.64787395,77.61267422,0.697924123
9/30/2001,40.59195661,70.33333333,17.78863818,70.31506349,0.586458148
12/31/2001,41.46283699,70.26666667,20.16810805,68.77209,0.159010601
3/31/2002,42.45537499,69.8,19.45839563,69.05914156,0.405715294
6/30/2002,45.26619249,69.73333333,18.53069447,65.60025293,0.562192551
9/30/2002,48.28462634,69.5,20.95887971,53.64339392,0.593990217
12/31/2002,50.06498947,69.96666667,22.2300984,53.18291535,0.659951372
3/31/2003,51.23524843,70.1,23.66911782,47.43908738,0.603864734
6/30/2003,51.9201253,70.13333333,25.39333847,52.13029494,0.908935003
9/30/2003,52.90665177,69.83333333,23.63925533,53.8508217,0.917743032
12/31/2003,53.54677008,69.56666667,19.83004821,56.6349785,0.572583361
3/31/2004,54.60982142,69.7,20.35336041,57.32298973,0.485599464
6/30/2004,56.54326912,69.53333333,18.99681099,57.35284223,0.24995834
9/30/2004,58.15650639,69.46666667,18.37548146,57.57085172,-0.132978723
12/31/2004,57.68852548,68.86666667,19.46343447,60.17371581,-0.116511318
3/31/2005,57.50782849,68.76666667,19.66490509,62.45343642,0.899850025
6/30/2005,58.49619113,69.1,20.23693478,62.53746876,1.023947151
9/30/2005,58.97668724,69.26666667,21.94673691,67.16863896,1.046264509
12/31/2005,58.68518285,69.03333333,21.40684151,68.08422941,1.342824786
3/31/2006,59.60410376,69.13333333,21.35429495,72.78527912,0.127713921
6/30/2006,61.60172995,68.43333333,20.32145353,72.14846284,0.031887755
9/30/2006,63.5582167,68.06666667,19.72525537,72.59921572,-0.25502072
12/31/2006,64.74099475,68.56666667,19.56277504,74.5412854,-0.015979546
3/31/2007,67.18153918,68.3,18.37667627,75.53250602,0.910979703
6/30/2007,70.12487516,68.53333333,17.35328733,78.7426887,0.554323725
9/30/2007,73.78813708,68.1,16.45666744,76.51809945,0.645770988
12/31/2007,73.99005422,68.56666667,16.42954118,77.70119503,0.516431925
3/31/2008,73.46878674,68.43333333,17.13780029,68.87238778,0.186828585
6/30/2008,72.78272766,68.66666667,15.87586874,68.81336883,-1.134421134
9/30/2008,70.20598498,68.83333333,16.32464114,61.08969864,-2.20056586
12/31/2008,64.50147165,68.76666667,19.2416208,50.06149454,-2.909032465
3/31/2009,62.07504432,68.6,23.70087988,45.60927469,-2.118854494
6/30/2009,61.97035029,69.16666667,24.15772005,48.99352937,-0.405885337
9/30/2009,65.31579902,69.1,22.52305416,55.35094059,-0.135846493
12/31/2009,66.66997344,69.63333333,24.07658336,58.83948137,0
3/31/2010,69.41830224,70.36666667,25.49077228,60.69243946,0.323074307
6/30/2010,70.19067266,69.86666667,26.62699778,57.97248554,0.779661017
9/30/2010,72.27803589,69.66666667,26.52631877,59.18482794,0.336360579
12/31/2010,70.64487918,69.46666667,28.02465117,62.5932761,-0.26818639
3/31/2011,71.18505653,68,27.07598903,64.21506493,0.672268908
6/30/2011,71.54240148,67.43333333,28.52477921,64.23959742,-0.066777963
9/30/2011,73.32007913,67.56666667,33.14234748,57.9842077,0.05011694
12/31/2011,72.44983922,67.36666667,31.93259041,58.47848989,-0.183670062
3/31/2012,72.57672915,67.56666667,29.77479923,60.72437571,0.602208096
6/30/2012,75.29478025,68,27.07809511,57.87299528,-0.249418025
9/30/2012,76.74313161,67.96666667,27.19872793,59.30182301,1.150191699
12/31/2012,77.16443656,68.1,29.21952012,60.26888179,-0.626235992
